车辆编号,货物ID,原始类型,坐标x(cm),坐标y(cm),坐标z(cm),姿态长(cm),姿态宽(cm),姿态高(cm),重量(kg)
1,92,标准件,0,0,0,25,35,50,8
1,274,定向件,25,0,0,40,40,60,18
1,117,标准件,65,0,0,25,35,50,8
1,42,标准件,90,0,0,30,40,60,12
1,124,标准件,120,0,0,25,35,50,8
1,286,定向件,145,0,0,40,40,60,18
1,102,标准件,185,0,0,25,35,50,8
1,197,易碎件,210,0,0,40,50,70,15
1,86,标准件,250,0,0,25,35,50,8
1,287,定向件,275,0,0,40,40,60,18
1,96,标准件,315,0,0,25,35,50,8
1,111,标准件,340,0,0,25,35,50,8
1,278,定向件,365,0,0,40,40,60,18
1,258,定向件,315,35,0,40,40,60,18
1,48,标准件,25,40,0,30,40,60,12
1,245,定向件,55,40,0,80,60,50,25
1,208,易碎件,135,40,0,40,50,70,15
1,108,标准件,0,35,0,25,35,50,8
1,70,标准件,175,40,0,30,40,60,12
1,236,定向件,210,50,0,80,60,50,25
1,180,易碎件,365,40,0,40,50,70,15
1,184,易碎件,315,75,0,40,50,70,15
1,101,标准件,290,50,0,25,35,50,8
1,148,标准件,0,70,0,25,35,50,8
1,64,标准件,25,80,0,30,40,60,12
1,164,标准件,175,80,0,25,35,50,8
1,266,定向件,135,90,0,40,40,60,18
1,162,标准件,290,85,0,25,35,50,8
1,215,定向件,55,100,0,80,60,50,25
1,16,标准件,365,90,0,30,40,60,12
1,133,标准件,395,90,0,25,35,50,8
1,251,定向件,210,110,0,40,40,60,18
1,201,易碎件,250,110,0,40,50,70,15
1,189,易碎件,315,125,0,40,50,70,15
1,74,标准件,175,115,0,30,40,60,12
1,75,标准件,25,120,0,30,40,60,12
1,97,标准件,0,105,0,25,35,50,8
1,152,标准件,290,120,0,25,35,50,8
1,206,易碎件,135,130,0,40,50,70,15
1,23,标准件,365,130,0,30,40,60,12
1,125,标准件,395,125,0,25,35,50,8
1,36,标准件,210,150,0,30,40,60,12
1,84,标准件,0,140,0,25,35,50,8
1,55,标准件,175,155,0,30,40,60,12
1,63,标准件,25,160,0,30,40,60,12
1,76,标准件,55,160,0,30,40,60,12
1,204,易碎件,85,160,0,40,50,70,15
1,18,标准件,250,160,0,30,40,60,12
1,175,标准件,290,155,0,25,35,50,8
1,129,标准件,395,160,0,25,35,50,8
1,252,定向件,55,40,50,40,40,60,18
1,254,定向件,95,40,50,40,40,60,18
1,139,标准件,365,170,0,25,35,50,8
1,14,标准件,210,50,50,30,40,60,12
1,150,标准件,0,175,0,25,35,50,8
1,298,定向件,240,50,50,40,40,60,18
1,281,定向件,55,80,50,40,40,60,18
1,24,标准件,280,50,50,30,40,60,12
1,167,标准件,315,175,0,25,35,50,8
1,50,标准件,95,80,50,30,40,60,12
1,160,标准件,340,175,0,25,35,50,8
1,199,易碎件,25,160,60,50,40,70,15
1,246,定向件,55,40,110,80,60,50,25
1,47,标准件,55,120,50,30,40,60,12
1,250,定向件,85,120,50,40,40,60,18
1,172,标准件,0,0,50,25,35,50,8
1,22,标准件,365,170,50,30,40,60,12
1,19,标准件,25,0,60,30,40,60,12
1,73,标准件,55,0,60,30,40,60,12
1,106,标准件,120,0,50,25,35,50,8
1,71,标准件,85,0,60,30,40,60,12
1,87,标准件,185,0,50,25,35,50,8
1,233,定向件,210,50,110,80,60,50,25
1,269,定向件,145,0,60,40,40,60,18
1,136,标准件,250,0,50,25,35,50,8
1,273,定向件,275,0,60,40,40,60,18
1,147,标准件,315,0,50,25,35,50,8
1,77,标准件,365,0,60,30,40,60,12
1,109,标准件,340,0,50,25,35,50,8
1,83,标准件,0,35,50,25,35,50,8
1,80,标准件,0,70,50,25,35,50,8
1,149,标准件,175,80,50,25,35,50,8
1,57,标准件,315,35,60,30,40,60,12
1,276,定向件,135,90,60,40,40,60,18
1,153,标准件,395,90,50,25,35,50,8
1,11,标准件,25,40,60,30,40,60,12
1,156,标准件,0,105,50,25,35,50,8
1,38,标准件,175,40,60,30,40,60,12
1,82,标准件,290,120,50,25,35,50,8
1,219,定向件,55,100,110,80,60,50,25
1,115,标准件,395,125,50,25,35,50,8
1,112,标准件,0,140,50,25,35,50,8
1,249,定向件,55,40,160,80,60,50,25
1,290,定向件,210,110,60,40,40,60,18
1,159,标准件,290,155,50,25,35,50,8
1,68,标准件,25,80,60,30,40,60,12
1,163,标准件,395,160,50,25,35,50,8
1,294,定向件,210,150,60,40,40,60,18
1,43,标准件,365,90,60,30,40,60,12
1,85,标准件,0,175,50,25,35,50,8
1,182,易碎件,25,0,120,50,40,70,15
1,27,标准件,175,115,60,30,40,60,12
1,214,定向件,210,110,120,80,60,50,25
1,78,标准件,25,120,60,30,40,60,12
1,2,标准件,365,130,60,30,40,60,12
1,216,定向件,210,50,160,80,60,50,25
1,228,定向件,55,100,160,80,60,50,25
1,145,标准件,315,175,50,25,35,50,8
1,31,标准件,175,155,60,30,40,60,12
1,54,标准件,250,160,60,30,40,60,12
1,59,标准件,185,0,100,30,40,60,12
1,40,标准件,215,0,100,30,40,60,12
1,293,定向件,290,120,100,40,40,60,18
1,171,标准件,340,175,50,25,35,50,8
1,9,标准件,245,0,100,30,40,60,12
1,299,定向件,290,160,100,40,40,60,18
1,239,定向件,290,120,160,80,60,50,25
1,157,标准件,395,0,60,25,35,50,8
1,13,标准件,330,120,100,30,40,60,12
1,195,易碎件,185,0,160,70,40,50,15
1,6,标准件,330,160,100,30,40,60,12
1,272,定向件,75,0,120,40,40,60,18
1,277,定向件,145,0,120,40,40,60,18
1,262,定向件,275,0,120,40,40,60,18
1,296,定向件,365,0,120,40,40,60,18
1,7,标准件,135,40,110,30,40,60,12
1,39,标准件,115,0,120,30,40,60,12
1,142,标准件,0,0,100,25,35,50,8
1,267,定向件,315,35,120,40,40,60,18
1,30,标准件,25,40,120,30,40,60,12
1,95,标准件,315,0,100,25,35,50,8
1,45,标准件,175,40,120,30,40,60,12
1,118,标准件,340,0,100,25,35,50,8
1,255,定向件,135,90,120,40,40,60,18
1,35,标准件,365,40,120,30,40,60,12
1,90,标准件,0,35,100,25,35,50,8
1,265,定向件,365,80,120,40,40,60,18
1,141,标准件,0,70,100,25,35,50,8
1,176,标准件,175,80,100,25,35,50,8
1,58,标准件,315,75,120,30,40,60,12
1,12,标准件,25,80,120,30,40,60,12
1,297,定向件,210,170,120,40,40,60,18
1,120,标准件,0,105,100,25,35,50,8
1,67,标准件,175,115,120,30,40,60,12
1,288,定向件,250,170,120,40,40,60,18
1,62,标准件,25,120,120,30,40,60,12
1,88,标准件,395,125,100,25,35,50,8
1,94,标准件,0,140,100,25,35,50,8
1,5,标准件,135,130,120,30,40,60,12
1,99,标准件,395,160,100,25,35,50,8
1,154,标准件,0,175,100,25,35,50,8
1,44,标准件,175,155,120,30,40,60,12
1,81,标准件,290,50,110,25,35,50,8
1,137,标准件,290,85,110,25,35,50,8
1,165,标准件,365,170,110,25,35,50,8
1,21,标准件,135,170,120,30,40,60,12
1,53,标准件,370,120,160,30,60,40,12
1,52,标准件,210,110,170,30,60,40,12
1,177,标准件,395,40,120,25,35,50,8
1,10,标准件,240,110,170,30,60,40,12
1,89,标准件,0,0,150,25,35,50,8
1,17,标准件,135,180,0,40,30,60,12
1,56,标准件,135,180,60,40,30,60,12
1,179,标准件,315,0,150,25,35,50,8
1,123,标准件,340,0,150,25,35,50,8
1,132,标准件,0,35,150,25,35,50,8
